NACS,TeamN,Division,Directorate,TeamC
252-community-nursing,Community nursing,2,25,2250
255-podiatry,Podiatry ,2,25,25500
261-sure-start,Sure Start,2,33,2330
263-child-health,Child & family health team ,2,26,2260
273-nutrition,Nutrition & dietetics,2,31,2330
302-community-nursing,Community nursing,2,30,2300
304-community-matrons,Community matrons ,2,30,2300
305-school-nursing,School nursing ,2,30,2300
306-health-visiting,Health visiting,2,30,2300
313-podiatry,Podiatry,2,31,2310
RHA,Trust,NA,NA,2000
RHA_10001,Crisis resolution,0,2,2020
RHA_10002,Assertive outreach,0,2,2020
RHA_10003,Early intervention,0,2,2020
RHA_10004,Primary care mental health,0,NA,1700
RHA_656,Clinical psychology,0,14,2140
RHA_700,Learning disability,0,6,2060
RHA_710,Adult mental health,0,2,2020
RHA_710h,Homeless mental health ,0,2,2020
RHA_710i,Inpatient mental health care,0,2,2020
RHA_711,Child and adolescent mental health,0,4,2040
RHA_712,Forensic mental health,1,NA,1800
RHA_713,Psychotherapy,0,14,2140
RHA_715,Older people's mental health ,0,7,2070
RHA_720,Eating disorders,0,14,1404
RHA_721,Addiction services,0,13,2130
RHA_722,Liaison psychiatry,0,2,2020
RHA_723,Psychiatric intensive care,0,2,2020
RHA_724,Perinatal psychiatry,0,2,2020
RHA_cs,Carer services,0,NA,1700
RHA-alcohol-drug-liaison-team,Alcohol & Drug Hospital Liaison Team,0,13,1306
rha-amh-city,Adult Mental Health Services - Community (City),0,2,2020
rha-amh-county,Adult Mental Health Services - Community (County),0,2,2020
rha-camhs-city,Child and Adolescent Mental Health Services – Community(City),0,4,2040
rha-camhs-county,Child and Adolescent Mental Health Services – Community(County),0,4,2040
rha-camhs-inpatient,Child and Adolescent Mental Health Services – Inpatient,0,4,2040
rha-community-forensic-services,Community forensic services ,1,5,2050
RHA-coss,COSS (Chill Out Sound Support),0,13,2130
RHA-dual-diagnosis,Dual Diagnosis Team Nottinghamshire,0,13,1303
RHA-gender-services,Gender dysphoria services,0,14,1405
RHA-health-shop,Health Shop,0,13,1312
rha-hmp-stocken,HMP Stocken,1,16,1610
rha-hmp-stocken-pc,Stocken Primary care ,1,16,1610.6
rha-hmp-stocken-sms,Substance misuse services,1,16,1610.9
rha-iapt-bassetlaw,Let’s Talk Well Being  (IAPT) – Bassetlaw,0,24,24001
rha-iapt-city,Let’s Talk Well Being (IAPT) – Nottingham,0,24,24000
rha-iapt-county,Let’s Talk Well Being (IAPT) – Nottinghamshire,0,24,24000
RHA-jsc-pcl,Primary Care Liaison Team (John Storer Clinic),0,13,1310
RHA-jsc-sms,John Storer Clinic (Community Drug Team),0,13,2130
rha-ld-city,Intellectual Developmental Disabilities /Learning Disability Services – Community (City) ,0,6,2060
